cidr,country,region,city,pop,code,dns_ptr,pop_dns_ptr_match
14.1.87.0/24,AU,AU-NSW,Sydney,sydyaus1,syd,customer.sydyaus1.pop.starlinkisp.net.,True
14.1.88.0/24,AU,AU-WA,Perth,prthaus1,per,customer.lsancax1.pop.starlinkisp.net.,False
14.1.89.0/24,AU,AU-WA,Perth,prthaus1,per,customer.mnlaphl1.pop.starlinkisp.net.,False
14.1.94.0/24,AU,AU-VIC,Melbourne,mlbeaus1,mel,customer.mlbeaus1.pop.starlinkisp.net.,True
14.1.95.0/24,AU,AU-VIC,Melbourne,mlbeaus1,mel,customer.mlbeaus1.pop.starlinkisp.net.,True
65.181.0.0/24,AU,AU-QLD,Brisbane,brseaus1,bne,customer.brseaus1.pop.starlinkisp.net.,True
65.181.1.0/24,AU,AU-QLD,Brisbane,brseaus1,bne,customer.brseaus1.pop.starlinkisp.net.,True
65.181.2.0/24,AU,AU-QLD,Brisbane,brseaus1,bne,customer.brseaus1.pop.starlinkisp.net.,True
65.181.3.0/24,AU,AU-QLD,Brisbane,brseaus1,bne,customer.brseaus1.pop.starlinkisp.net.,True
65.181.4.0/24,JP,JP-13,Tokyo,tkyojpn1,nrt,customer.tkyojpn1.pop.starlinkisp.net.,True
65.181.5.0/24,JP,JP-13,Tokyo,tkyojpn1,nrt,customer.tkyojpn1.pop.starlinkisp.net.,True
65.181.6.0/24,JP,JP-13,Tokyo,tkyojpn1,nrt,customer.tkyojpn1.pop.starlinkisp.net.,True
65.181.7.0/24,JP,JP-13,Tokyo,tkyojpn1,nrt,customer.tkyojpn1.pop.starlinkisp.net.,True
65.181.8.0/24,PH,PH-00,Manila,mnlaphl1,mnl,customer.mnlaphl1.pop.starlinkisp.net.,True
65.181.9.0/24,PH,PH-00,Manila,mnlaphl1,mnl,customer.mnlaphl1.pop.starlinkisp.net.,True
65.181.10.0/24,AU,AU-QLD,Brisbane,brseaus1,bne,customer.sydyaus1.pop.starlinkisp.net.,False
65.181.11.0/24,AU,AU-QLD,Brisbane,brseaus1,bne,customer.jtnaidn1.pop.starlinkisp.net.,False
65.181.12.0/24,AU,AU-NSW,Sydney,sydyaus1,syd,customer.sydyaus1.pop.starlinkisp.net.,True
65.181.13.0/24,AU,AU-NSW,Sydney,sydyaus1,syd,customer.sydyaus1.pop.starlinkisp.net.,True
65.181.14.0/24,AU,AU-NSW,Sydney,sydyaus1,syd,customer.sydyaus1.pop.starlinkisp.net.,True
65.181.15.0/24,AU,AU-NSW,Sydney,sydyaus1,syd,customer.sydyaus1.pop.starlinkisp.net.,True
65.181.16.0/24,MY,MY-14,Kuala Lumpur,sngesgp1,sin,customer.sngesgp1.pop.starlinkisp.net.,True
65.181.17.0/24,MY,MY-14,Kuala Lumpur,sngesgp1,sin,customer.sngesgp1.pop.starlinkisp.net.,True
65.181.18.0/24,MY,MY-14,Kuala Lumpur,sngesgp1,sin,customer.sngesgp1.pop.starlinkisp.net.,True
65.181.19.0/24,MY,MY-14,Kuala Lumpur,sngesgp1,sin,customer.sngesgp1.pop.starlinkisp.net.,True
65.181.20.0/24,AU,AU-WA,Perth,prthaus1,per,customer.prthaus1.pop.starlinkisp.net.,True
65.181.21.0/24,AU,AU-WA,Perth,prthaus1,per,customer.prthaus1.pop.starlinkisp.net.,True
65.181.22.0/24,AU,AU-WA,Perth,prthaus1,per,customer.prthaus1.pop.starlinkisp.net.,True
65.181.23.0/24,AU,AU-WA,Perth,prthaus1,per,customer.prthaus1.pop.starlinkisp.net.,True
65.181.24.0/24,MY,MY-14,Kuala Lumpur,mnlaphl1,mnl,customer.mnlaphl1.pop.starlinkisp.net.,True
65.181.25.0/24,MY,MY-14,Kuala Lumpur,mnlaphl1,mnl,customer.mnlaphl1.pop.starlinkisp.net.,True
65.181.26.0/24,AU,AU-QLD,Brisbane,brseaus1,bne,customer.sngesgp1.pop.starlinkisp.net.,False
65.181.27.0/24,AU,AU-QLD,Brisbane,brseaus1,bne,customer.chrhnzl1.pop.starlinkisp.net.,False
65.181.30.0/24,AU,AU-WA,Perth,prthaus1,per,customer.prthaus1.pop.starlinkisp.net.,True
65.181.31.0/24,AU,AU-WA,Perth,prthaus1,per,customer.sydyaus1.pop.starlinkisp.net.,False
66.9.160.0/24,VE,VE-A,Caracas,bgtacol1,bog,customer.lgosnga1.pop.starlinkisp.net.,False
66.9.161.0/24,VE,VE-A,Caracas,bgtacol1,bog,customer.gtmygtm1.pop.starlinkisp.net.,False
66.9.162.0/24,MX,MX-CMX,Mexico City,qrtomex1,qro,customer.qrtomex1.pop.starlinkisp.net.,True
66.9.163.0/24,MX,MX-CMX,Mexico City,qrtomex1,qro,customer.qrtomex1.pop.starlinkisp.net.,True
66.9.164.0/24,PR,,San Juan,mmmiflx1,mia,customer.mmmiflx1.pop.starlinkisp.net.,True
66.9.166.0/24,JM,JM-01,Kingston,mmmiflx1,mia,customer.mmmiflx1.pop.starlinkisp.net.,True
66.9.168.0/24,HT,HT-OU,Port-au-Prince,mmmiflx1,mia,customer.mmmiflx1.pop.starlinkisp.net.,True
66.9.169.0/24,HT,HT-OU,Port-au-Prince,mmmiflx1,mia,customer.mmmiflx1.pop.starlinkisp.net.,True
66.9.174.0/24,BR,BR-SP,Sao Paulo,bgtacol1,bog,customer.bgtacol1.pop.starlinkisp.net.,True
66.9.175.0/24,BR,BR-SP,Sao Paulo,bgtacol1,bog,customer.bgtacol1.pop.starlinkisp.net.,True
66.9.176.0/24,MX,MX-CMX,Mexico City,tmpeazx1,phx,customer.tmpeazx1.pop.starlinkisp.net.,True
66.9.177.0/24,MX,MX-CMX,Mexico City,tmpeazx1,phx,customer.tmpeazx1.pop.starlinkisp.net.,True
66.9.180.0/24,US,US-UT,Salt Lake City,sltyutx1,pvu,customer.sltyutx1.pop.starlinkisp.net.,True
66.9.181.0/24,US,US-UT,Salt Lake City,sltyutx1,pvu,customer.sltyutx1.pop.starlinkisp.net.,True
66.9.182.0/24,US,US-UT,Salt Lake City,sltyutx1,pvu,customer.sltyutx1.pop.starlinkisp.net.,True
66.9.183.0/24,US,US-UT,Salt Lake City,sltyutx1,pvu,customer.sltyutx1.pop.starlinkisp.net.,True
66.9.184.0/24,US,US-CA,Los Angeles,lsancax1,lax,customer.lsancax1.pop.starlinkisp.net.,True
66.9.185.0/24,US,US-CA,Los Angeles,lsancax1,lax,customer.lsancax1.pop.starlinkisp.net.,True
66.9.186.0/24,MX,MX-CMX,Mexico City,mmmiflx1,mia,customer.lsancax1.pop.starlinkisp.net.,False
66.9.187.0/24,MX,MX-CMX,Mexico City,mmmiflx1,mia,customer.lsancax1.pop.starlinkisp.net.,False
67.158.63.0/24,US,US-CA,Hawthorne,lsancax1,lax,,False
74.244.0.0/24,CA,CA-QC,Montreal,mntlcan1,yul,customer.mntlcan1.isp.starlink.com.,True
74.244.1.0/24,CA,CA-QC,Montreal,mntlcan1,yul,customer.mntlcan1.isp.starlink.com.,True
74.244.2.0/24,MX,MX-CMX,Mexico City,qrtomex1,qro,customer.qrtomex1.isp.starlink.com.,True
74.244.3.0/24,MX,MX-CMX,Mexico City,qrtomex1,qro,customer.qrtomex1.isp.starlink.com.,True
74.244.4.0/24,MX,MX-CMX,Mexico City,qrtomex1,qro,customer.qrtomex1.isp.starlink.com.,True
74.244.5.0/24,MX,MX-CMX,Mexico City,qrtomex1,qro,customer.qrtomex1.isp.starlink.com.,True
74.244.6.0/24,HT,HT-OU,Port-au-Prince,mmmiflx1,mia,customer.mmmiflx1.isp.starlink.com.,True
74.244.7.0/24,HT,HT-OU,Port-au-Prince,mmmiflx1,mia,customer.mmmiflx1.isp.starlink.com.,True
74.244.8.0/24,US,US-CO,Denver,sltyutx1,pvu,customer.dnvrcox1.isp.starlink.com.,False
74.244.9.0/24,US,US-CO,Denver,sltyutx1,pvu,customer.dnvrcox1.isp.starlink.com.,False
74.244.10.0/24,US,US-WY,Cheyenne,dnvrcox1,den,customer.dnvrcox1.isp.starlink.com.,True
74.244.11.0/24,US,US-WY,Cheyenne,dnvrcox1,den,customer.dnvrcox1.isp.starlink.com.,True
74.244.12.0/24,NE,NE-8,Niamey,lgosnga1,los,customer.lgosnga1.isp.starlink.com.,True
74.244.13.0/24,NE,NE-8,Niamey,lgosnga1,los,customer.lgosnga1.isp.starlink.com.,True
74.244.14.0/24,US,US-NM,Albuquerque,dnvrcox1,den,customer.dnvrcox1.isp.starlink.com.,True
74.244.15.0/24,US,US-NM,Albuquerque,dnvrcox1,den,customer.dnvrcox1.isp.starlink.com.,True
74.244.16.0/24,US,US-MO,Kansas City,knsymox1,mci,customer.knsymox1.isp.starlink.com.,True
74.244.17.0/24,US,US-MO,Kansas City,knsymox1,mci,customer.knsymox1.isp.starlink.com.,True
74.244.18.0/24,US,US-MO,Kansas City,knsymox1,mci,customer.knsymox1.isp.starlink.com.,True
74.244.19.0/24,US,US-MO,Kansas City,knsymox1,mci,customer.knsymox1.isp.starlink.com.,True
74.244.20.0/24,US,US-MO,Kansas City,knsymox1,mci,customer.knsymox1.isp.starlink.com.,True
74.244.21.0/24,US,US-MO,Kansas City,knsymox1,mci,customer.knsymox1.isp.starlink.com.,True
74.244.22.0/24,US,US-MO,Kansas City,knsymox1,mci,customer.knsymox1.isp.starlink.com.,True
74.244.23.0/24,US,US-MO,Kansas City,knsymox1,mci,customer.knsymox1.isp.starlink.com.,True
74.244.24.0/24,US,US-MO,Kansas City,knsymox1,mci,customer.knsymox1.isp.starlink.com.,True
74.244.25.0/24,US,US-MO,Kansas City,knsymox1,mci,customer.knsymox1.isp.starlink.com.,True
74.244.26.0/24,US,US-MO,Kansas City,knsymox1,mci,customer.knsymox1.isp.starlink.com.,True
74.244.27.0/24,US,US-MO,Kansas City,knsymox1,mci,customer.knsymox1.isp.starlink.com.,True
74.244.28.0/24,MX,MX-CMX,Mexico City,tmpeazx1,phx,customer.tmpeazx1.isp.starlink.com.,True
74.244.29.0/24,MX,MX-CMX,Mexico City,tmpeazx1,phx,customer.tmpeazx1.isp.starlink.com.,True
74.244.30.0/24,US,US-AZ,Phoenix,tmpeazx1,phx,customer.tmpeazx1.isp.starlink.com.,True
74.244.31.0/24,US,US-AZ,Phoenix,tmpeazx1,phx,customer.tmpeazx1.isp.starlink.com.,True
74.244.32.0/24,CA,CA-BC,Vancouver,sttlwax1,sea,customer.sttlwax1.isp.starlink.com.,True
74.244.33.0/24,CA,CA-BC,Vancouver,sttlwax1,sea,customer.sttlwax1.isp.starlink.com.,True
74.244.34.0/24,CA,CA-AB,Calgary,clgycan1,yyc,customer.sttlwax1.isp.starlink.com.,False
74.244.35.0/24,CA,CA-AB,Calgary,clgycan1,yyc,customer.sttlwax1.isp.starlink.com.,False
74.244.36.0/24,US,US-HI,Honolulu,lsancax1,lax,customer.lsancax1.isp.starlink.com.,True
74.244.37.0/24,US,US-HI,Honolulu,lsancax1,lax,customer.lsancax1.isp.starlink.com.,True
74.244.38.0/24,US,US-CA,Los Angeles,lsancax1,lax,customer.lsancax1.isp.starlink.com.,True
74.244.39.0/24,US,US-CA,Los Angeles,lsancax1,lax,customer.lsancax1.isp.starlink.com.,True
74.244.40.0/24,US,US-CA,Los Angeles,lsancax1,lax,customer.lsancax1.isp.starlink.com.,True
74.244.41.0/24,US,US-CA,Los Angeles,lsancax1,lax,customer.lsancax1.isp.starlink.com.,True
74.244.42.0/24,US,US-TX,Dallas,dllstxx1,dfw,customer.dllstxx1.isp.starlink.com.,True
74.244.43.0/24,US,US-TX,Dallas,dllstxx1,dfw,customer.dllstxx1.isp.starlink.com.,True
74.244.44.0/24,US,US-TX,Dallas,dllstxx1,dfw,customer.dllstxx1.isp.starlink.com.,True
74.244.45.0/24,US,US-TX,Dallas,dllstxx1,dfw,customer.dllstxx1.isp.starlink.com.,True
74.244.46.0/24,US,US-TX,Dallas,dllstxx1,dfw,customer.dllstxx1.isp.starlink.com.,True
74.244.47.0/24,US,US-TX,Dallas,dllstxx1,dfw,customer.dllstxx1.isp.starlink.com.,True
74.244.48.0/24,US,US-TX,Dallas,dllstxx1,dfw,customer.dllstxx1.isp.starlink.com.,True
74.244.49.0/24,US,US-TX,Dallas,dllstxx1,dfw,customer.dllstxx1.isp.starlink.com.,True
74.244.50.0/24,US,US-CA,San Jose,snjecax1,sjc,customer.snjecax1.isp.starlink.com.,True
74.244.51.0/24,US,US-CA,San Jose,snjecax1,sjc,customer.snjecax1.isp.starlink.com.,True
74.244.52.0/24,US,US-CA,San Jose,snjecax1,sjc,customer.snjecax1.isp.starlink.com.,True
74.244.53.0/24,US,US-CA,San Jose,snjecax1,sjc,customer.snjecax1.isp.starlink.com.,True
74.244.54.0/24,US,US-GA,Atlanta,atlagax1,atl,customer.atlagax1.isp.starlink.com.,True
74.244.55.0/24,US,US-GA,Atlanta,atlagax1,atl,customer.atlagax1.isp.starlink.com.,True
74.244.56.0/24,US,US-GA,Atlanta,atlagax1,atl,customer.atlagax1.isp.starlink.com.,True
74.244.57.0/24,US,US-GA,Atlanta,atlagax1,atl,customer.atlagax1.isp.starlink.com.,True
74.244.58.0/24,US,US-GA,Atlanta,atlagax1,atl,customer.atlagax1.isp.starlink.com.,True
74.244.59.0/24,US,US-GA,Atlanta,atlagax1,atl,customer.atlagax1.isp.starlink.com.,True
74.244.60.0/24,US,US-VA,Ashburn,ashnvax2,iad,customer.ashnvax2.isp.starlink.com.,True
74.244.61.0/24,US,US-VA,Ashburn,ashnvax2,iad,customer.ashnvax2.isp.starlink.com.,True
74.244.62.0/24,US,US-VA,Ashburn,ashnvax2,iad,customer.ashnvax2.isp.starlink.com.,True
74.244.63.0/24,US,US-VA,Ashburn,ashnvax2,iad,customer.ashnvax2.isp.starlink.com.,True
74.244.64.0/24,GT,GT-01,Guatemala City,gtmygtm1,gua,customer.gtmygtm1.isp.starlink.com.,True
74.244.65.0/24,GT,GT-01,Guatemala City,gtmygtm1,gua,customer.gtmygtm1.isp.starlink.com.,True
74.244.66.0/24,GT,GT-01,Guatemala City,gtmygtm1,gua,customer.gtmygtm1.isp.starlink.com.,True
74.244.67.0/24,GT,GT-01,Guatemala City,gtmygtm1,gua,customer.gtmygtm1.isp.starlink.com.,True
74.244.68.0/24,TD,TD-ND,N'Djamena,sfiabgr1,sof,customer.limaper1.isp.starlink.com.,False
74.244.69.0/24,TD,TD-ND,N'Djamena,sfiabgr1,sof,customer.limaper1.isp.starlink.com.,False
74.244.72.0/24,US,US-AK,Anchorage,sttlwax1,sea,customer.sttlwax1.isp.starlink.com.,True
74.244.73.0/24,US,US-AK,Anchorage,sttlwax1,sea,customer.sttlwax1.isp.starlink.com.,True
74.244.74.0/24,CA,CA-ON,Toronto,mplsmnx1,msp,customer.nwyynyx1.isp.starlink.com.,False
74.244.75.0/24,CA,CA-ON,Toronto,mplsmnx1,msp,customer.nwyynyx1.isp.starlink.com.,False
74.244.76.0/24,US,US-UT,Salt Lake City,sltyutx1,pvu,customer.sltyutx1.isp.starlink.com.,True
74.244.77.0/24,US,US-UT,Salt Lake City,sltyutx1,pvu,customer.sltyutx1.isp.starlink.com.,True
74.244.78.0/24,US,US-MN,Minneapolis,mplsmnx1,msp,customer.mplsmnx1.isp.starlink.com.,True
74.244.79.0/24,US,US-MN,Minneapolis,mplsmnx1,msp,customer.mplsmnx1.isp.starlink.com.,True
74.244.80.0/24,LS,LS-A,Maseru,jhngzaf1,jnb,customer.jhngzaf1.isp.starlink.com.,True
74.244.81.0/24,LS,LS-A,Maseru,jhngzaf1,jnb,customer.jhngzaf1.isp.starlink.com.,True
74.244.82.0/24,CD,CD-KN,Kinshasa,nrbiken1,nbo,customer.nrbiken1.isp.starlink.com.,True
74.244.83.0/24,SS,SS-EC,Juba,nrbiken1,nbo,customer.nrbiken1.isp.starlink.com.,True
74.244.84.0/24,SN,SN-DK,Dakar,mdrdesp1,mad,customer.lgosnga1.isp.starlink.com.,False
74.244.85.0/24,SN,SN-DK,Dakar,mdrdesp1,mad,customer.lgosnga1.isp.starlink.com.,False
74.244.86.0/24,ML,ML-BKO,Bamako,mdrdesp1,mad,customer.mdrdesp1.isp.starlink.com.,True
74.244.87.0/24,ML,ML-BKO,Bamako,mdrdesp1,mad,customer.mdrdesp1.isp.starlink.com.,True
74.244.89.0/24,BF,BF-03,Ouagadougou,lgosnga1,los,customer.lgosnga1.isp.starlink.com.,True
74.244.90.0/24,US,US-AK,Anchorage,sttlwax1,sea,customer.sttlwax1.isp.starlink.com.,True
74.244.91.0/24,US,US-AK,Anchorage,sttlwax1,sea,customer.sttlwax1.isp.starlink.com.,True
74.244.92.0/24,MZ,MZ-MPM,Maputo,jhngzaf1,jnb,customer.jhngzaf1.isp.starlink.com.,True
74.244.93.0/24,MZ,MZ-MPM,Maputo,jhngzaf1,jnb,customer.jhngzaf1.isp.starlink.com.,True
74.244.94.0/24,ZW,ZW-HA,Harare,jhngzaf1,jnb,customer.jhngzaf1.isp.starlink.com.,True
74.244.95.0/24,ZW,ZW-HA,Harare,jhngzaf1,jnb,customer.jhngzaf1.isp.starlink.com.,True
74.244.96.0/24,MX,MX-CMX,Mexico City,qrtomex1,qro,customer.qrtomex1.isp.starlink.com.,True
74.244.97.0/24,MX,MX-CMX,Mexico City,qrtomex1,qro,customer.qrtomex1.isp.starlink.com.,True
74.244.98.0/24,MX,MX-CMX,Mexico City,qrtomex1,qro,customer.qrtomex1.isp.starlink.com.,True
74.244.99.0/24,MX,MX-CMX,Mexico City,qrtomex1,qro,customer.qrtomex1.isp.starlink.com.,True
74.244.100.0/24,MX,MX-CMX,Mexico City,qrtomex1,qro,customer.qrtomex1.isp.starlink.com.,True
74.244.101.0/24,MX,MX-CMX,Mexico City,qrtomex1,qro,customer.qrtomex1.isp.starlink.com.,True
74.244.102.0/24,MX,MX-CMX,Mexico City,qrtomex1,qro,customer.qrtomex1.isp.starlink.com.,True
74.244.103.0/24,MX,MX-CMX,Mexico City,qrtomex1,qro,customer.qrtomex1.isp.starlink.com.,True
74.244.104.0/24,CL,CL-RM,Santiago,sntochl1,scl,customer.sntochl1.isp.starlink.com.,True
74.244.105.0/24,CL,CL-RM,Santiago,sntochl1,scl,customer.sntochl1.isp.starlink.com.,True
74.244.106.0/24,CL,CL-RM,Santiago,sntochl1,scl,customer.sntochl1.isp.starlink.com.,True
74.244.107.0/24,CL,CL-RM,Santiago,sntochl1,scl,customer.sntochl1.isp.starlink.com.,True
74.244.108.0/24,US,US-MT,Billings,sltyutx1,pvu,customer.sltyutx1.isp.starlink.com.,True
74.244.109.0/24,US,US-MT,Billings,sltyutx1,pvu,customer.sltyutx1.isp.starlink.com.,True
74.244.110.0/24,US,US-ID,Boise,sltyutx1,pvu,customer.sltyutx1.isp.starlink.com.,True
74.244.111.0/24,US,US-ID,Boise,sltyutx1,pvu,customer.sltyutx1.isp.starlink.com.,True
74.244.112.0/24,US,US-FL,Miami,mmmiflx1,mia,customer.isp.starlink.com.,False
74.244.113.0/24,US,US-FL,Miami,mmmiflx1,mia,customer.isp.starlink.com.,False
74.244.114.0/24,US,US-MO,Kansas City,knsymox1,mci,customer.isp.starlink.com.,False
74.244.115.0/24,US,US-MO,Kansas City,knsymox1,mci,customer.isp.starlink.com.,False
74.244.116.0/24,US,US-MO,Kansas City,knsymox1,mci,customer.isp.starlink.com.,False
74.244.117.0/24,US,US-MO,Kansas City,knsymox1,mci,customer.isp.starlink.com.,False
74.244.118.0/24,GH,GH-AA,Accra,lgosnga1,los,customer.isp.starlink.com.,False
74.244.119.0/24,GH,GH-AA,Accra,lgosnga1,los,customer.isp.starlink.com.,False
74.244.120.0/24,US,US-FL,Miami,mmmiflx1,mia,customer.isp.starlink.com.,False
74.244.121.0/24,US,US-FL,Miami,mmmiflx1,mia,customer.isp.starlink.com.,False
74.244.122.0/24,US,US-FL,Miami,mmmiflx1,mia,customer.isp.starlink.com.,False
74.244.123.0/24,US,US-FL,Miami,mmmiflx1,mia,customer.isp.starlink.com.,False
74.244.124.0/24,CA,CA-ON,Toronto,ashnvax2,iad,customer.isp.starlink.com.,False
74.244.125.0/24,CA,CA-ON,Toronto,ashnvax2,iad,customer.isp.starlink.com.,False
74.244.126.0/24,CA,CA-ON,Toronto,ashnvax2,iad,customer.isp.starlink.com.,False
74.244.127.0/24,CA,CA-ON,Toronto,ashnvax2,iad,customer.isp.starlink.com.,False
74.244.128.0/24,ZM,ZM-09,Lusaka,jhngzaf1,jnb,customer.isp.starlink.com.,False
74.244.129.0/24,ZM,ZM-09,Lusaka,jhngzaf1,jnb,customer.isp.starlink.com.,False
74.244.130.0/24,US,US-NV,Las Vegas,sltyutx1,pvu,customer.isp.starlink.com.,False
74.244.131.0/24,US,US-NV,Las Vegas,sltyutx1,pvu,customer.isp.starlink.com.,False
74.244.132.0/24,AR,AR-C,Buenos Aires,bnssarg1,eze,customer.isp.starlink.com.,False
74.244.133.0/24,AR,AR-C,Buenos Aires,bnssarg1,eze,customer.isp.starlink.com.,False
74.244.134.0/24,AR,AR-C,Buenos Aires,bnssarg1,eze,customer.isp.starlink.com.,False
74.244.135.0/24,AR,AR-C,Buenos Aires,bnssarg1,eze,customer.isp.starlink.com.,False
74.244.136.0/24,MX,MX-CMX,Mexico City,gtmygtm1,gua,customer.isp.starlink.com.,False
74.244.137.0/24,MX,MX-CMX,Mexico City,gtmygtm1,gua,customer.isp.starlink.com.,False
74.244.138.0/24,SD,SD-KH,Khartoum,mlnnita1,mxp,customer.isp.starlink.com.,False
74.244.139.0/24,SD,SD-KH,Khartoum,mlnnita1,mxp,customer.isp.starlink.com.,False
74.244.140.0/24,US,US-GA,Atlanta,mmmiflx1,mia,customer.isp.starlink.com.,False
74.244.141.0/24,US,US-GA,Atlanta,mmmiflx1,mia,customer.isp.starlink.com.,False
74.244.142.0/24,US,US-FL,Miami,atlagax1,atl,customer.isp.starlink.com.,False
74.244.143.0/24,US,US-FL,Miami,atlagax1,atl,customer.isp.starlink.com.,False
74.244.144.0/24,CR,CR-SJ,San Jose,gtmygtm1,gua,customer.isp.starlink.com.,False
74.244.145.0/24,CR,CR-SJ,San Jose,gtmygtm1,gua,customer.isp.starlink.com.,False
74.244.146.0/24,US,US-NC,Charlotte,ashnvax2,iad,customer.isp.starlink.com.,False
74.244.147.0/24,US,US-NC,Charlotte,ashnvax2,iad,customer.isp.starlink.com.,False
74.244.148.0/24,MS,,Brades,mmmiflx1,mia,customer.isp.starlink.com.,False
74.244.149.0/24,MS,,Brades,mmmiflx1,mia,customer.isp.starlink.com.,False
74.244.150.0/24,GP,,Basse-Terre,mmmiflx1,mia,customer.isp.starlink.com.,False
74.244.151.0/24,GP,,Basse-Terre,mmmiflx1,mia,customer.isp.starlink.com.,False
74.244.152.0/24,VI,,Charlotte Amalie,mmmiflx1,mia,customer.isp.starlink.com.,False
74.244.153.0/24,VI,,Charlotte Amalie,mmmiflx1,mia,customer.isp.starlink.com.,False
74.244.154.0/24,US,US-NV,Las Vegas,lsancax1,lax,customer.isp.starlink.com.,False
74.244.155.0/24,US,US-NV,Las Vegas,lsancax1,lax,customer.isp.starlink.com.,False
74.244.156.0/24,US,US-AZ,Phoenix,lsancax1,lax,customer.isp.starlink.com.,False
74.244.157.0/24,US,US-AZ,Phoenix,lsancax1,lax,customer.isp.starlink.com.,False
74.244.158.0/24,CA,CA-AB,Calgary,clgycan1,yyc,customer.isp.starlink.com.,False
74.244.159.0/24,CA,CA-AB,Calgary,clgycan1,yyc,customer.isp.starlink.com.,False
74.244.160.0/24,CA,CA-AB,Calgary,clgycan1,yyc,customer.isp.starlink.com.,False
74.244.161.0/24,CA,CA-AB,Calgary,clgycan1,yyc,customer.isp.starlink.com.,False
74.244.162.0/24,JM,JM-01,Kingston,mmmiflx1,mia,customer.isp.starlink.com.,False
74.244.163.0/24,JM,JM-01,Kingston,mmmiflx1,mia,customer.isp.starlink.com.,False
74.244.164.0/24,MX,MX-CMX,Mexico City,qrtomex1,qro,customer.isp.starlink.com.,False
74.244.165.0/24,MX,MX-CMX,Mexico City,qrtomex1,qro,customer.isp.starlink.com.,False
74.244.166.0/24,MX,MX-CMX,Mexico City,qrtomex1,qro,customer.isp.starlink.com.,False
74.244.167.0/24,MX,MX-CMX,Mexico City,qrtomex1,qro,customer.isp.starlink.com.,False
74.244.168.0/24,CO,CO-DC,Bogota,limaper1,lim,customer.isp.starlink.com.,False
74.244.169.0/24,CO,CO-DC,Bogota,limaper1,lim,customer.isp.starlink.com.,False
74.244.170.0/24,US,US-VA,Ashburn,ashnvax2,iad,customer.isp.starlink.com.,False
74.244.171.0/24,US,US-VA,Ashburn,ashnvax2,iad,customer.isp.starlink.com.,False
74.244.172.0/24,US,US-VA,Ashburn,ashnvax2,iad,customer.isp.starlink.com.,False
74.244.173.0/24,US,US-VA,Ashburn,ashnvax2,iad,customer.isp.starlink.com.,False
74.244.174.0/24,US,US-AZ,Phoenix,tmpeazx1,phx,customer.isp.starlink.com.,False
74.244.175.0/24,US,US-AZ,Phoenix,tmpeazx1,phx,customer.isp.starlink.com.,False
74.244.176.0/24,US,US-AZ,Phoenix,tmpeazx1,phx,customer.isp.starlink.com.,False
74.244.177.0/24,US,US-AZ,Phoenix,tmpeazx1,phx,customer.isp.starlink.com.,False
74.244.178.0/24,LR,LR-MO,Monrovia,lgosnga1,los,customer.isp.starlink.com.,False
74.244.179.0/24,LR,LR-MO,Monrovia,lgosnga1,los,customer.isp.starlink.com.,False
74.244.180.0/24,MX,MX-CMX,Mexico City,dllstxx1,dfw,customer.isp.starlink.com.,False
74.244.181.0/24,MX,MX-CMX,Mexico City,dllstxx1,dfw,customer.isp.starlink.com.,False
